	18_4T1_4h-20uCi	12_4T1_ctrl	16_4T1_ctrl	28_B16-F10_4h-40uCi	24_B16-F10_24h-40uCi	33_MC-38_4h-40uCi	21_B16-F10_ctrl	32_MC-38_ctrl	34_MC-38_24h-40uCi	20_4T1_72h-20uCi	26_B16-F10_ctrl	5_MOPC315-BM_72h-5uCi	1_MOPC315-BM_ctrl	31_MC-38_ctrl	4_MOPC315-BM_24h-5uCi	13_4T1_4h-20uCi	7_MOPC315-BM_ctrl	6_MOPC315-BM_ctrl	30_B16-F10_72h-40uCi	10_MOPC315-BM_72h-5uCi	39_MC-38_24h-40uCi	29_B16-F10_24h-40uCi	17_4T1_ctrl	3_MOPC315-BM_4h-5uCi	37_MC-38_ctrl	35_MC-38_72h-40uCi	19_4T1_24h-20uCi	11_4T1_ctrl	14_4T1_24h-20uCi	22_B16-F10_ctrl	2_MOPC315-BM_ctrl	8_MOPC315-BM_4h-5uCi	36_MC-38_ctrl	40_MC-38_72h-40uCi	25_B16-F10_72h-40uCi	38_MC-38_4h-40uCi	23_B16-F10_4h-40uCi	27_B16-F10_ctrl	15_4T1_72h-20uCi	9_MOPC315-BM_24h-5uCi
0610005C13Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0610009B22Rik	104	54	75	133	88	83	142	97	115	189	242	18	64	96	53	65	48	56	201	23	145	114	70	29	74	62	78	69	101	161	33	26	70	89	166	46	101	325	149	29
0610009E02Rik	1	1	3	1	1	0	2	0	1	1	4	1	0	0	1	2	2	1	4	1	0	1	1	1	0	0	0	0	2	4	0	0	1	3	2	0	1	4	2	1
0610009L18Rik	2	0	0	0	0	2	4	1	0	2	5	0	1	3	0	0	0	0	6	0	1	0	0	0	0	1	0	0	0	1	0	0	2	2	3	0	1	4	1	0
0610010F05Rik	13	3	8	1	3	0	9	3	7	15	9	3	1	5	2	9	1	3	4	2	8	5	2	2	2	2	7	4	13	5	2	1	8	4	6	1	3	10	12	0
0610010K14Rik	135	69	90	22	40	96	88	122	66	178	111	39	94	122	67	81	142	109	81	48	80	70	88	69	80	64	63	69	49	73	64	51	108	107	38	96	51	144	131	50
0610012G03Rik	68	27	52	11	18	50	26	53	62	92	58	2	12	74	13	32	26	14	39	3	63	22	30	10	37	23	58	26	48	29	7	5	56	52	28	33	17	64	71	9
0610030E20Rik	4	0	2	3	4	2	3	2	1	3	7	3	1	1	1	2	8	3	6	0	3	3	2	4	4	2	4	3	0	10	0	5	0	1	6	4	7	7	1	0
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610038B21Rik	2	0	0	0	0	2	0	3	3	1	1	1	0	2	1	1	0	0	1	0	9	0	0	0	0	3	1	3	1	0	0	0	1	3	2	4	0	0	1	0
0610039H22Rik	0	0	0	0	0	0	0	0	0	0	0	3	6	0	3	0	7	3	0	5	0	0	0	3	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	2
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0610040B10Rik	1	0	2	0	0	4	2	4	4	2	0	1	3	10	7	0	8	2	1	1	13	2	3	1	4	5	1	2	1	1	2	2	5	12	3	2	1	3	2	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
1110002J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
1110002L01Rik	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	2	0	2	1	1	0	0	0	3	0	0	0	0	2	1	0	1	0	0	0	0	1	3	2	0
1110004F10Rik	596	288	388	210	323	343	432	321	401	525	637	76	159	405	146	326	205	160	305	83	420	348	381	115	322	168	308	264	351	556	121	68	323	280	243	288	348	768	422	99
1110006O24Rik	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	1	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0
1110008P14Rik	66	21	51	14	21	31	26	40	60	249	60	21	29	41	23	47	42	45	57	19	67	34	35	22	23	25	62	15	58	31	24	23	42	64	54	40	43	87	168	16
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
1110019D14Rik	2	1	3	7	14	6	5	2	17	11	18	1	4	10	6	0	5	0	21	0	12	13	3	1	8	8	6	1	11	7	1	1	9	10	16	3	4	37	5	1
1110020A21Rik	2	2	2	2	3	3	3	1	5	6	4	0	1	4	2	1	1	0	3	1	3	2	1	1	0	1	4	0	4	2	0	0	3	4	0	1	0	7	4	2
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
