SampleName	Condition
53_4T1-4-C_B	4T1-ctrl
72_4T1-5-72H	4T1-72h
39_4T1-3-24H	4T1-24h
75_MC38-5-24H	MC-38-24h
12_MC38-1-72H	MC-38-72h
27_MC38-2-24H_B	MC-38-24h
17_MOPC-2-C	MOPC315-BM-ctrl
80_B16F10-5-72H	B16-F10-72h
33_MOPC-3-C	MOPC315-BM-ctrl
76_MC38-5-72H	MC-38-72h
79_B16F10-5-24H	B16-F10-24h
70_4T1-5-4H	4T1-4h
59_MC38-4-24H_B	MC-38-24h
30_B16-2-4H_B	B16-F10-4h
20_MOPC-2-72H	MOPC315-BM-72h
58_MC38-4-4H	MC-38-4h
79_B16F10-5-24H_B	B16-F10-24h
7_4T1-1-24H	4T1-24h
68_MOPC-5-72H	MOPC315-BM-72h
55_4T1-4-24H	4T1-24h
31_B16-2-24H_B	B16-F10-24h
29_B16-2-C	B16-F10-ctrl
10_MC38-1-4H	MC-38-4h
13_B16-1-C	B16-F10-ctrl
64_B16-4-72H	B16-F10-72h
23_4T1-2-24H	4T1-24h
50_MOPC-4-4H	MOPC315-BM-4h
25_MC38-2-C	MC-38-ctrl
14_B16-1-4H	B16-F10-4h
9_MC38-1-C	MC-38-ctrl
42_MC38-3-4H	MC-38-4h
16_B16-1-72H	B16-F10-72h
5_4T1-1-C	4T1-ctrl
54_4T1-4-4H	4T1-4h
2_MOPC-1-4H	MOPC315-BM-4h
64_B16-4-72H_B	B16-F10-72h
58_MC38-4-4H_B	MC-38-4h
51_MOPC-4-24H	MOPC315-BM-24h
56_4T1-4-72H_B	4T1-72h
38_4T1-3-4H	4T1-4h
60_MC38-4-72H_B	MC-38-72h
65_MOPC-5-C	MOPC315-BM-ctrl
53_4T1-4-C	4T1-ctrl
67_MOPC-5-24H	MOPC315-BM-24h
78_B16F10-5-4H	B16-F10-4h
49_MOPC-4-C	MOPC315-BM-ctrl
74_MC38-5-4H	MC-38-4h
35_MOPC-3-24H	MOPC315-BM-24h
62_B16-4-4H_B	B16-F10-4h
50_MOPC-4-4H_B	MOPC315-BM-4h
44_MC38-3-72H	MC-38-72h
66_MOPC-5-4H	MOPC315-BM-4h
8_4T1-1-72H_B	4T1-72h
63_B16-4-24H	B16-F10-24h
52_MOPC-4-72H_B	MOPC315-BM-72h
8_4T1-1-72H	4T1-72h
6_4T1-1-4H	4T1-4h
60_MC38-4-72H	MC-38-72h
57_MC38-4-C	MC-38-ctrl
69_4T1-5-C_B	4T1-ctrl
32_B16-2-72H	B16-F10-72h
73_MC38-5-C	MC-38-ctrl
40_4T1-3-72H	4T1-72h
63_B16-4-24H_B	B16-F10-24h
61_B16-4-C	B16-F10-ctrl
41_MC38-3-C	MC-38-ctrl
80_B16F10-5-72H_B	B16-F10-72h
54_4T1-4-4H_B	4T1-4h
49_MOPC-4-C_B	MOPC315-BM-ctrl
31_B16-2-24H	B16-F10-24h
11_MC38-1-24H	MC-38-24h
19_MOPC-2-24H_B	MOPC315-BM-24h
52_MOPC-4-72H	MOPC315-BM-72h
28_MC38-2-72H	MC-38-72h
61_B16-4-C_B	B16-F10-ctrl
62_B16-4-4H	B16-F10-4h
69_4T1-5-C	4T1-ctrl
1_MOPC-1-C	MOPC315-BM-ctrl
34_MOPC-3-4H	MOPC315-BM-4h
4_MOPC-1-72H	MOPC315-BM-72h
27_MC38-2-24H	MC-38-24h
22_4T1-2-4H	4T1-4h
56_4T1-4-72H	4T1-72h
30_B16-2-4H	B16-F10-4h
71_4T1-5-24H	4T1-24h
57_MC38-4-C_B	MC-38-ctrl
51_MOPC-4-24H_B	MOPC315-BM-24h
2_MOPC-1-4H_B	MOPC315-BM-4h
36_MOPC-3-72H	MOPC315-BM-72h
59_MC38-4-24H	MC-38-24h
55_4T1-4-24H_B	4T1-24h
45_B16-3-C	B16-F10-ctrl
21_4T1-2-C	4T1-ctrl
77_B16F10-5-C	B16-F10-ctrl
26_MC38-2-4H	MC-38-4h
19_MOPC-2-24H	MOPC315-BM-24h
